sim_step,event_type,attempt_id,event_id,trigger_rule,trigger_source,applied_step,protocol_phase,stage_name,dist_m,warn_threshold,dist_min_for_gating,dist_min_envelope,dist_min_held,safe_dist_hard_stop_active,safe_dist_warn_active,slow_streak_length,ee_x,ee_y,ee_z,proxy_center_x,proxy_center_y,proxy_center_z,proxy_surface_x,proxy_surface_y,proxy_surface_z,attractor_x,attractor_y,attractor_z,g1_head_x,g1_head_y,g1_head_z,reach_clamped,reach_radius_active,proxy_radius_active,head_to_attractor_distance,reach_margin
201,trigger,1,,held_critical,scripted_virtual_hand,,transit,lift_slot_A_1,0.0000,0.2500,0.0000,0.0000,0.0307,0.2500,0.2500,,0.5254,-0.3473,0.5575,0.0261,-0.2405,0.5575,0.4172,-0.3242,0.5575,0.6500,0.0000,0.0000,-0.4919,-0.1239,0.1867,1,0.5500,0.4000,1.1486,-0.5986
201,applied,1,1,held_critical,scripted_virtual_hand,201,transit,lift_slot_A_1,0.0000,0.2500,0.0000,0.0000,0.0307,0.2500,0.2500,,0.5254,-0.3473,0.5575,0.0261,-0.2405,0.5575,0.4172,-0.3242,0.5575,0.6500,0.0000,0.0000,-0.4919,-0.1239,0.1867,1,0.5500,0.4000,1.1486,-0.5986
201,retreat,1,1,replan,scripted_virtual_hand,201,transit,lift_slot_A_1,0.0000,0.2500,0.0000,0.0000,0.0307,0.2500,0.2500,,0.5254,-0.3473,0.5575,0.0261,-0.2405,0.5575,0.4172,-0.3242,0.5575,0.6500,0.0000,0.0000,-0.4919,-0.1239,0.1867,1,0.5500,0.4000,1.1486,-0.5986
786,redeploy,1,,protocol,scripted_virtual_hand,,pick,descend_to_slot_A_2,1.5890,0.2500,1.5890,1.5890,,0.2500,0.2500,,0.5357,-0.2915,0.3072,-0.3823,-0.4381,0.3126,-0.1305,-0.5114,-0.1371,0.5357,-0.2915,0.0000,-0.3830,-0.4388,0.2092,0,0.5500,0.0800,0.9304,-0.3804
887,trigger,2,,held_critical,scripted_virtual_hand,,transit,lift_slot_A_2,0.0000,0.2500,0.0000,0.0000,0.0000,0.2500,0.2500,,0.5249,-0.2768,0.5578,0.1027,-0.2229,0.5578,0.4995,-0.2735,0.5578,0.6500,0.0000,0.0000,-0.3944,-0.4582,0.1962,1,0.5500,0.4000,1.1405,-0.5905
887,applied,2,2,held_critical,scripted_virtual_hand,887,transit,lift_slot_A_2,0.0000,0.2500,0.0000,0.0000,0.0000,0.2500,0.2500,,0.5249,-0.2768,0.5578,0.1027,-0.2229,0.5578,0.4995,-0.2735,0.5578,0.6500,0.0000,0.0000,-0.3944,-0.4582,0.1962,1,0.5500,0.4000,1.1405,-0.5905
887,retreat,2,2,replan,scripted_virtual_hand,887,transit,lift_slot_A_2,0.0000,0.2500,0.0000,0.0000,0.0000,0.2500,0.2500,,0.5249,-0.2768,0.5578,0.1027,-0.2229,0.5578,0.4995,-0.2735,0.5578,0.6500,0.0000,0.0000,-0.3944,-0.4582,0.1962,1,0.5500,0.4000,1.1405,-0.5905
1472,redeploy,2,,protocol,scripted_virtual_hand,,pick,descend_to_slot_A_3,1.5667,0.2500,1.5667,1.5667,,0.2500,0.2500,,0.5366,-0.2211,0.3070,-0.3271,-0.4466,0.3124,-0.0884,-0.5209,-0.1493,0.5366,-0.2211,0.0000,-0.3278,-0.4983,0.2113,0,0.5500,0.0800,0.9077,-0.3577
1573,trigger,3,,held_critical,scripted_virtual_hand,,transit,lift_slot_A_3,0.0000,0.2500,0.0000,0.0000,0.0000,0.2500,0.2500,,0.5242,-0.2073,0.5578,0.1127,-0.2016,0.5578,0.5127,-0.2071,0.5578,0.6500,0.0000,0.0000,-0.3274,-0.5314,0.1978,1,0.5500,0.4000,1.1125,-0.5625
1573,applied,3,3,held_critical,scripted_virtual_hand,1573,transit,lift_slot_A_3,0.0000,0.2500,0.0000,0.0000,0.0000,0.2500,0.2500,,0.5242,-0.2073,0.5578,0.1127,-0.2016,0.5578,0.5127,-0.2071,0.5578,0.6500,0.0000,0.0000,-0.3274,-0.5314,0.1978,1,0.5500,0.4000,1.1125,-0.5625
1573,retreat,3,3,replan,scripted_virtual_hand,1573,transit,lift_slot_A_3,0.0000,0.2500,0.0000,0.0000,0.0000,0.2500,0.2500,,0.5242,-0.2073,0.5578,0.1127,-0.2016,0.5578,0.5127,-0.2071,0.5578,0.6500,0.0000,0.0000,-0.3274,-0.5314,0.1978,1,0.5500,0.4000,1.1125,-0.5625
2158,redeploy,3,,protocol,scripted_virtual_hand,,pick,descend_to_slot_A_4,1.5513,0.2500,1.5513,1.5513,,0.2500,0.2500,,0.5374,-0.1504,0.3068,-0.4159,-0.4999,0.3122,-0.1410,-0.5225,-0.1262,0.5374,-0.1504,0.0000,-0.4165,-0.4495,0.1975,0,0.5500,0.0800,0.9996,-0.4496
2259,trigger,4,,held_critical,scripted_virtual_hand,,transit,lift_slot_A_4,0.0000,0.2500,0.0000,0.0000,0.0000,0.2500,0.2500,,0.5236,-0.1376,0.5578,0.0700,-0.2187,0.5578,0.4637,-0.1483,0.5578,0.6500,0.0000,0.0000,-0.4077,-0.4914,0.1942,1,0.5500,0.4000,1.1662,-0.6162
2259,applied,4,4,held_critical,scripted_virtual_hand,2259,transit,lift_slot_A_4,0.0000,0.2500,0.0000,0.0000,0.0000,0.2500,0.2500,,0.5236,-0.1376,0.5578,0.0700,-0.2187,0.5578,0.4637,-0.1483,0.5578,0.6500,0.0000,0.0000,-0.4077,-0.4914,0.1942,1,0.5500,0.4000,1.1662,-0.6162
2259,retreat,4,4,replan,scripted_virtual_hand,2259,transit,lift_slot_A_4,0.0000,0.2500,0.0000,0.0000,0.0000,0.2500,0.2500,,0.5236,-0.1376,0.5578,0.0700,-0.2187,0.5578,0.4637,-0.1483,0.5578,0.6500,0.0000,0.0000,-0.4077,-0.4914,0.1942,1,0.5500,0.4000,1.1662,-0.6162
2789,redeploy,4,,protocol,scripted_virtual_hand,,pick,descend_to_slot_A_5,1.6517,0.2500,1.6517,1.6517,,0.2500,0.2500,,0.6455,-0.3604,0.3080,-0.4278,-0.4051,0.3135,-0.1591,-0.5210,-0.1443,0.6455,-0.3604,0.0000,-0.4285,-0.4829,0.1910,0,0.5500,0.0800,1.0809,-0.5309
2896,slow_streak_start,5,,slow,scripted_virtual_hand,,transit,lift_slot_A_5,0.1822,0.3156,0.1822,0.1822,0.2436,0.2500,0.3156,1,0.6349,-0.3352,0.5769,-0.0273,-0.0433,0.5769,0.3387,-0.2047,0.5769,0.6500,0.0000,0.0000,-0.4495,-0.3958,0.1882,1,0.5500,0.4000,1.1685,-0.6185
2897,slow_streak_end,5,,slow,scripted_virtual_hand,,transit,lift_slot_A_5,0.1842,0.3268,0.1842,0.1842,0.2456,0.2500,0.3268,1,0.6346,-0.3277,0.5768,-0.0314,-0.0396,0.5768,0.3358,-0.1984,0.5768,0.6500,0.0000,0.0000,-0.4519,-0.3940,0.1891,1,0.5500,0.4000,1.1702,-0.6202
2898,slow_streak_start,5,,slow,scripted_virtual_hand,,transit,lift_slot_A_5,0.1840,0.3194,0.1840,0.1840,0.2454,0.2500,0.3194,1,0.6345,-0.3197,0.5763,-0.0339,-0.0378,0.5763,0.3347,-0.1932,0.5763,0.6500,0.0000,0.0000,-0.4535,-0.3934,0.1906,1,0.5500,0.4000,1.1716,-0.6216
2899,slow_streak_end,5,,slow,scripted_virtual_hand,,transit,lift_slot_A_5,0.1817,0.2980,0.1817,0.1817,0.2432,0.2500,0.2980,1,0.6346,-0.3121,0.5754,-0.0345,-0.0376,0.5754,0.3356,-0.1894,0.5754,0.6500,0.0000,0.0000,-0.4533,-0.3940,0.1924,1,0.5500,0.4000,1.1716,-0.6216
3312,slow_streak_start,6,,slow,scripted_virtual_hand,,transit,lift_slot_A_6,0.1463,0.2877,0.1463,0.1463,0.2076,0.2500,0.2877,1,0.6346,-0.2650,0.5776,-0.0154,-0.0407,0.5776,0.3627,-0.1712,0.5776,0.6500,0.0000,0.0000,-0.4279,-0.4045,0.1935,1,0.5500,0.4000,1.1513,-0.6013
3313,slow_streak_end,6,,slow,scripted_virtual_hand,,transit,lift_slot_A_6,0.1469,0.2978,0.1469,0.1469,0.2083,0.2500,0.2978,1,0.6346,-0.2574,0.5769,-0.0169,-0.0354,0.5769,0.3617,-0.1644,0.5769,0.6500,0.0000,0.0000,-0.4308,-0.3976,0.1948,1,0.5500,0.4000,1.1516,-0.6016
3728,slow_streak_start,8,,slow,scripted_virtual_hand,,transit,lift_slot_A_7,0.1416,0.2799,0.1416,0.1416,0.2029,0.2500,0.2799,1,0.6352,-0.1865,0.5772,-0.0273,-0.0206,0.5772,0.3607,-0.1177,0.5772,0.6500,0.0000,0.0000,-0.4613,-0.3584,0.1857,1,0.5500,0.4000,1.1677,-0.6177
3729,slow_streak_end,8,,slow,scripted_virtual_hand,,transit,lift_slot_A_7,0.1411,0.2870,0.1411,0.1411,0.2024,0.2500,0.2870,1,0.6351,-0.1773,0.5765,-0.0286,-0.0185,0.5765,0.3604,-0.1116,0.5765,0.6500,0.0000,0.0000,-0.4617,-0.3574,0.1854,1,0.5500,0.4000,1.1678,-0.6178
4575,slow_streak_start,10,,slow,scripted_virtual_hand,,transit,lift_slot_A_9,0.2470,0.3288,0.2470,0.2470,0.3085,0.2500,0.3288,1,0.7446,-0.3308,0.5738,0.0034,-0.0617,0.5738,0.3794,-0.1982,0.5738,0.6500,0.0000,0.0000,-0.4143,-0.4196,0.1954,1,0.5500,0.4000,1.1440,-0.5940
4576,slow_streak_end,10,,slow,scripted_virtual_hand,,transit,lift_slot_A_9,0.2498,0.3290,0.2498,0.2498,0.3113,0.2500,0.3290,1,0.7441,-0.3220,0.5748,-0.0007,-0.0547,0.5748,0.3758,-0.1899,0.5748,0.6500,0.0000,0.0000,-0.4154,-0.4160,0.1953,1,0.5500,0.4000,1.1437,-0.5937
4577,slow_streak_start,10,,slow,scripted_virtual_hand,,transit,lift_slot_A_9,0.2504,0.3221,0.2504,0.2504,0.3120,0.2500,0.3221,1,0.7439,-0.3125,0.5753,-0.0032,-0.0496,0.5753,0.3741,-0.1824,0.5753,0.6500,0.0000,0.0000,-0.4164,-0.4126,0.1951,1,0.5500,0.4000,1.1434,-0.5934
4578,slow_streak_end,10,,slow,scripted_virtual_hand,,transit,lift_slot_A_9,0.2500,0.3051,0.2500,0.2500,0.3115,0.2500,0.3051,1,0.7441,-0.3029,0.5754,-0.0046,-0.0458,0.5754,0.3738,-0.1757,0.5754,0.6500,0.0000,0.0000,-0.4173,-0.4093,0.1950,1,0.5500,0.4000,1.1431,-0.5931
